comment,sentiment
Justttttt as I was thinking of switching to android..,NEGATIVE
Thank you! You saved me 350€,POSITIVE
In Canada is not 300 is 600 damn ahahah,NEGATIVE
not again,NEGATIVE
Bro no have physical Sim,NEGATIVE
Mesalu bagunnayi appa😊,NEGATIVE
Battery size is 3692 its a small size still everyone is saying it has a good battery backup why? Plzz explain,NEGATIVE
Need LDAC BLUETOOTH PLEASE 🙏,NEGATIVE
Nice👨🏽‍💻,NEGATIVE
😂😂 So good,POSITIVE
I won 90 bucks,POSITIVE
Will it be crazy to go from a 15PM to a plain 17?,NEGATIVE
🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,NEGATIVE
🇧🇷🤘🏻,NEGATIVE
i want oneeee aaaaah apple i am coming back from 4 months with samsung thank god i've missed you!!!,NEGATIVE
I’m using an iPhone 7 right now. Good enough.,POSITIVE
So accurate 10:16. Great description and how it should be. Everyone needs good battery. But I certainly don't need infrared special effects 😋,POSITIVE
"Mükemmel bir inceleme, tebrikler. Türkiye'den selam 👋🏻🇹🇷",NEGATIVE
I live in Dubai and I like ur video 👍,POSITIVE
Nicee video 👌🥰🎉,POSITIVE
Gay pixel😂,NEGATIVE
Would've liked a 17 plus though...,POSITIVE
wooooooooooooooooow! I like 17 iphone!Its really nice model!,POSITIVE
I trade from my 17 pro max. 9-5pm it’s at 10% battery lmao.,NEGATIVE
"Thank you very much 
I buy it now",POSITIVE
I got an iPhone 17 upgrade from Verizon should I get it?,NEGATIVE
Sold me!,POSITIVE
Не могу определиться 16 про или 17?,NEGATIVE
Select 1:1 take photo,POSITIVE
"Can’t lie, I am loving my iPhone 17",POSITIVE
cringe.,NEGATIVE
Great video!,POSITIVE
BRAVO !!!!!!!,POSITIVE
"Still like my 11. 
Don’t see any reason to upgrade.",NEGATIVE
Do I really have to sell my Galaxy S25 ultra and buy an iphone 17?,NEGATIVE
Yeah I want this 1,POSITIVE
"Nice beginning, liked it ⭐️",POSITIVE
Similar size to my asus zenfone 9,NEGATIVE
"So if i go from a 12pro to this 17 stock,its going to be a good upgrade?",NEGATIVE
