neighborhood,area,rooms,age,parking,price
سعادت آباد,40,1,0,0,5277871456
سعادت آباد,40,1,0,1,6170359744
سعادت آباد,40,1,5,0,4707907889
سعادت آباد,40,1,5,1,5424001954
سعادت آباد,40,1,10,0,4030827881
سعادت آباد,40,1,10,1,5015837415
سعادت آباد,40,1,15,0,3605918062
سعادت آباد,40,1,15,1,4209986926
سعادت آباد,40,1,20,0,2784492240
سعادت آباد,40,1,20,1,3422208771
سعادت آباد,40,1,25,0,2332626790
سعادت آباد,40,1,25,1,3251596928
سعادت آباد,40,2,0,0,5789244557
سعادت آباد,40,2,0,1,6201524248
سعادت آباد,40,2,5,0,5392391588
سعادت آباد,40,2,5,1,5992947029
سعادت آباد,40,2,10,0,4846935984
سعادت آباد,40,2,10,1,5274501191
سعادت آباد,40,2,15,0,4142623761
سعادت آباد,40,2,15,1,4783090855
سعادت آباد,40,2,20,0,3617643151
سعادت آباد,40,2,20,1,4038980316
سعادت آباد,40,2,25,0,2750188648
سعادت آباد,40,2,25,1,3400935970
سعادت آباد,40,3,0,0,6488997063
سعادت آباد,40,3,0,1,6904981534
سعادت آباد,40,3,5,0,5439133477
سعادت آباد,40,3,5,1,6686906391
سعادت آباد,40,3,10,0,5013344847
سعادت آباد,40,3,10,1,5722087263
سعادت آباد,40,3,15,0,4666354790
سعادت آباد,40,3,15,1,5356940323
سعادت آباد,40,3,20,0,3891252219
سعادت آباد,40,3,20,1,4668999916
سعادت آباد,40,3,25,0,3335407634
سعادت آباد,40,3,25,1,3874324582
سعادت آباد,40,4,0,0,6857197984
سعادت آباد,40,4,0,1,7213807233
سعادت آباد,40,4,5,0,6282571709
سعادت آباد,40,4,5,1,6646888102
سعادت آباد,40,4,10,0,5848365666
سعادت آباد,40,4,10,1,6074412950
سعادت آباد,40,4,15,0,5121103954
سعادت آباد,40,4,15,1,5928080872
سعادت آباد,40,4,20,0,4170823636
سعادت آباد,40,4,20,1,5018798419
سعادت آباد,40,4,25,0,3608764566
سعادت آباد,40,4,25,1,4293191697
سعادت آباد,40,5,0,0,7314131779
سعادت آباد,40,5,0,1,7832823221
سعادت آباد,40,5,5,0,6730564184
سعادت آباد,40,5,5,1,7514763838
سعادت آباد,40,5,10,0,6394543293
سعادت آباد,40,5,10,1,7091697333
سعادت آباد,40,5,15,0,5455563851
سعادت آباد,40,5,15,1,6400717082
سعادت آباد,40,5,20,0,5199779301
سعادت آباد,40,5,20,1,5418674347
سعادت آباد,40,5,25,0,4263170130
سعادت آباد,40,5,25,1,4994901183
سعادت آباد,50,1,0,0,6701716761
سعادت آباد,50,1,0,1,7436981695
سعادت آباد,50,1,5,0,6145592525
سعادت آباد,50,1,5,1,6729065314
سعادت آباد,50,1,10,0,5348122608
سعادت آباد,50,1,10,1,5953248903
سعادت آباد,50,1,15,0,4657165542
سعادت آباد,50,1,15,1,5636793702
سعادت آباد,50,1,20,0,3930852265
سعادت آباد,50,1,20,1,4923540435
سعادت آباد,50,1,25,0,3586090507
سعادت آباد,50,1,25,1,4424998832
سعادت آباد,50,2,0,0,6774303742
سعادت آباد,50,2,0,1,7646216693
سعادت آباد,50,2,5,0,6220308615
سعادت آباد,50,2,5,1,7230814918
سعادت آباد,50,2,10,0,5608432619
سعادت آباد,50,2,10,1,6762048497
سعادت آباد,50,2,15,0,5005648227
سعادت آباد,50,2,15,1,6132837863
سعادت آباد,50,2,20,0,4688450972
سعادت آباد,50,2,20,1,5075321364
سعادت آباد,50,2,25,0,4200217668
سعادت آباد,50,2,25,1,4475591859
سعادت آباد,50,3,0,0,7510382408
سعادت آباد,50,3,0,1,8028138930
سعادت آباد,50,3,5,0,7000487288
سعادت آباد,50,3,5,1,7685587820
سعادت آباد,50,3,10,0,6487384392
سعادت آباد,50,3,10,1,7063592261
سعادت آباد,50,3,15,0,5450211477
سعادت آباد,50,3,15,1,6343656348
سعادت آباد,50,3,20,0,5398056770
سعادت آباد,50,3,20,1,5555151550
سعادت آباد,50,3,25,0,4371589028
سعادت آباد,50,3,25,1,5297190398
سعادت آباد,50,4,0,0,8194141740
سعادت آباد,50,4,0,1,8478070270
سعادت آباد,50,4,5,0,7256251817
سعادت آباد,50,4,5,1,8134780400
سعادت آباد,50,4,10,0,6724864807
سعادت آباد,50,4,10,1,7478135802
سعادت آباد,50,4,15,0,6390727305
سعادت آباد,50,4,15,1,6763708333
سعادت آباد,50,4,20,0,5541906549
سعادت آباد,50,4,20,1,6199181113
سعادت آباد,50,4,25,0,5129504556
سعادت آباد,50,4,25,1,5626783083
سعادت آباد,50,5,0,0,8338157139
سعادت آباد,50,5,0,1,9023522736
سعادت آباد,50,5,5,0,8088451867
سعادت آباد,50,5,5,1,8781003751
سعادت آباد,50,5,10,0,7204358766
سعادت آباد,50,5,10,1,7834287827
سعادت آباد,50,5,15,0,6575527127
سعادت آباد,50,5,15,1,7446070226
سعادت آباد,50,5,20,0,5954919767
سعادت آباد,50,5,20,1,6561261189
سعادت آباد,50,5,25,0,5415428123
سعادت آباد,50,5,25,1,6432871236
سعادت آباد,60,1,0,0,7841400887
سعادت آباد,60,1,0,1,8117000593
سعادت آباد,60,1,5,0,6836999239
سعادت آباد,60,1,5,1,7503155161
سعادت آباد,60,1,10,0,6509961406
سعادت آباد,60,1,10,1,7253158956
سعادت آباد,60,1,15,0,5623265062
سعادت آباد,60,1,15,1,6712946014
سعادت آباد,60,1,20,0,5259394899
سعادت آباد,60,1,20,1,6047321809
سعادت آباد,60,1,25,0,4951916201
سعادت آباد,60,1,25,1,5412191369
سعادت آباد,60,2,0,0,8100443356
سعادت آباد,60,2,0,1,8953073067
سعادت آباد,60,2,5,0,7363127359
سعادت آباد,60,2,5,1,8189312029
سعادت آباد,60,2,10,0,7160719819
سعادت آباد,60,2,10,1,7721015939
سعادت آباد,60,2,15,0,6565977640
سعادت آباد,60,2,15,1,6929115142
سعادت آباد,60,2,20,0,5952063577
سعادت آباد,60,2,20,1,6302568756
سعادت آباد,60,2,25,0,5272853256
سعادت آباد,60,2,25,1,5624479671
سعادت آباد,60,3,0,0,8816224654
سعادت آباد,60,3,0,1,9154603989
سعادت آباد,60,3,5,0,8353451731
سعادت آباد,60,3,5,1,8646484114
سعادت آباد,60,3,10,0,7705144853
سعادت آباد,60,3,10,1,7981717041
سعادت آباد,60,3,15,0,6995563050
سعادت آباد,60,3,15,1,7379172257
سعادت آباد,60,3,20,0,6277588964
سعادت آباد,60,3,20,1,7092762947
سعادت آباد,60,3,25,0,5423432991
سعادت آباد,60,3,25,1,6111656227
سعادت آباد,60,4,0,0,9025722360
سعادت آباد,60,4,0,1,10058665305
سعادت آباد,60,4,5,0,8413845921
سعادت آباد,60,4,5,1,9240386303
سعادت آباد,60,4,10,0,7934686395
سعادت آباد,60,4,10,1,8794611264
سعادت آباد,60,4,15,0,7588495599
سعادت آباد,60,4,15,1,8180953517
سعادت آباد,60,4,20,0,6610653342
سعادت آباد,60,4,20,1,7621531814
سعادت آباد,60,4,25,0,6311888562
سعادت آباد,60,4,25,1,6891480000
سعادت آباد,60,5,0,0,9572110353
سعادت آباد,60,5,0,1,10431838513
سعادت آباد,60,5,5,0,9200272351
سعادت آباد,60,5,5,1,9882890909
سعادت آباد,60,5,10,0,8658795029
سعادت آباد,60,5,10,1,9372826701
سعادت آباد,60,5,15,0,7922028444
سعادت آباد,60,5,15,1,8710456780
سعادت آباد,60,5,20,0,7382589341
سعادت آباد,60,5,20,1,7809489005
سعادت آباد,60,5,25,0,6606164172
سعادت آباد,60,5,25,1,7122966147
سعادت آباد,70,1,0,0,8936049470
سعادت آباد,70,1,0,1,9712722523
سعادت آباد,70,1,5,0,8017386472
سعادت آباد,70,1,5,1,8937778150
سعادت آباد,70,1,10,0,7600463666
سعادت آباد,70,1,10,1,8151565226
سعادت آباد,70,1,15,0,6999819513
سعادت آباد,70,1,15,1,7948037403
سعادت آباد,70,1,20,0,6779512215
سعادت آباد,70,1,20,1,6929366812
سعادت آباد,70,1,25,0,5724213703
سعادت آباد,70,1,25,1,6327560563
سعادت آباد,70,2,0,0,9434354588
سعادت آباد,70,2,0,1,10372898557
سعادت آباد,70,2,5,0,8862738881
سعادت آباد,70,2,5,1,9459428674
سعادت آباد,70,2,10,0,8146694126
سعادت آباد,70,2,10,1,8668961207
سعادت آباد,70,2,15,0,7877945727
سعادت آباد,70,2,15,1,8165463941
سعادت آباد,70,2,20,0,7005591500
سعادت آباد,70,2,20,1,7782334050
سعادت آباد,70,2,25,0,6598237103
سعادت آباد,70,2,25,1,6989461820
سعادت آباد,70,3,0,0,9607456906
سعادت آباد,70,3,0,1,10308870463
سعادت آباد,70,3,5,0,9170313788
سعادت آباد,70,3,5,1,10139356649
سعادت آباد,70,3,10,0,8640651955
سعادت آباد,70,3,10,1,9155438148
سعادت آباد,70,3,15,0,8308789779
سعادت آباد,70,3,15,1,9059005461
سعادت آباد,70,3,20,0,7619616494
سعادت آباد,70,3,20,1,7953967256
سعادت آباد,70,3,25,0,7005493152
سعادت آباد,70,3,25,1,7554816168
سعادت آباد,70,4,0,0,10469585646
سعادت آباد,70,4,0,1,11174411861
سعادت آباد,70,4,5,0,9909258498
سعادت آباد,70,4,5,1,10784414590
سعادت آباد,70,4,10,0,9102969496
سعادت آباد,70,4,10,1,9745292134
سعادت آباد,70,4,15,0,8322198641
سعادت آباد,70,4,15,1,9017865340
سعادت آباد,70,4,20,0,8252850322
سعادت آباد,70,4,20,1,8650815739
سعادت آباد,70,4,25,0,7273554517
سعادت آباد,70,4,25,1,7837317238
سعادت آباد,70,5,0,0,10856108530
سعادت آباد,70,5,0,1,11727282634
سعادت آباد,70,5,5,0,10404700351
سعادت آباد,70,5,5,1,10731077455
سعادت آباد,70,5,10,0,9998040801
سعادت آباد,70,5,10,1,10416755319
سعادت آباد,70,5,15,0,9047359680
سعادت آباد,70,5,15,1,9567150284
سعادت آباد,70,5,20,0,8422427487
سعادت آباد,70,5,20,1,9132998371
سعادت آباد,70,5,25,0,8163837536
سعادت آباد,70,5,25,1,8408431022
سعادت آباد,80,1,0,0,10014852876
سعادت آباد,80,1,0,1,10780995542
سعادت آباد,80,1,5,0,9682403863
سعادت آباد,80,1,5,1,9978965415
سعادت آباد,80,1,10,0,8955033318
سعادت آباد,80,1,10,1,9391390240
سعادت آباد,80,1,15,0,8205029345
سعادت آباد,80,1,15,1,9074392871
